Date,Hour,PartID,Awarded,MCSimpleED,MCMarket
10/26/2019,11,872788,891,16.6725124949877,15.1919590457069
10/26/2019,11,902793,691.399999999999,16.73447475422,15.3487679358309
10/26/2019,11,595644,560,16.9598360102929,15.385506037948
10/26/2019,11,739738,492.4,17.1662692517743,15.6981289981451
10/26/2019,11,328723,461,17.1839081621009,15.7662965733152
10/26/2019,11,975156,196,17.6003077448103,16.1601821737729
10/26/2019,12,401592,2114,14.1223987002547,12.5711637781528
10/26/2019,12,591975,1305,14.7182002244949,12.8925285883405
10/26/2019,12,206845,1287.9,15.1804637114749,13.8602690775227
10/26/2019,12,212494,1034,15.3590792184394,13.9933514596393
10/26/2019,12,872788,888,15.6684686018776,14.437173669427
10/26/2019,12,902793,546.8,15.9953183136408,14.9192585444452
10/26/2019,12,328723,436,16.2332070345069,15.1423157597024
10/26/2019,12,595644,420.200000000001,16.0779169239242,15.0317352229785
10/26/2019,12,739738,407.9,16.2627608543791,15.1540993645032
10/26/2019,12,975156,196,16.5789641177954,15.5641476013979
10/26/2019,13,401592,2114,14.067856422384,10.1660864421327
10/26/2019,13,591975,1303,14.657691165411,10.7484708522999
10/26/2019,13,206845,1287.9,15.1316042035896,11.9290375964157
10/26/2019,13,212494,1031,15.3122833163595,11.9649516278846
10/26/2019,13,872788,888,15.6213559721634,12.7477792866468
10/26/2019,13,902793,544.4,15.9567235045267,13.4340138030324
10/26/2019,13,328723,436,16.1908313012044,13.5586092494883
10/26/2019,13,739738,407.5,16.2197791286071,13.5633062378072
10/26/2019,13,595644,296,16.2571975339048,14.0148885884173
10/26/2019,13,975156,196,16.5376158271007,14.2592100277983
10/26/2019,14,401592,2114,14.0684741999833,9.51935925628648
10/26/2019,14,591975,1300,14.6635766092368,10.5115018764861
10/26/2019,14,206845,1287.9,15.1319805686653,11.2712620795513
10/26/2019,14,212494,1030,15.3149076360155,11.2158050454639
10/26/2019,14,872788,888,15.6216270315396,12.0982236547081
10/26/2019,14,902793,543.7,15.9580194949611,12.7322156427186
10/26/2019,14,328723,436,16.191046181906,12.8187958800922
10/26/2019,14,739738,407.5,16.2199197544518,12.8621475387485
10/26/2019,14,595644,267.200000000001,16.3085299378831,13.4308722580988
10/26/2019,14,975156,196,16.5376731044941,13.586701171279
10/26/2019,15,401592,2114,14.1156181333073,10.3054442550358
